Characteristic;White;Black or African American;American Indian and Alaska Native;Asian;Native Hawaiian and Other Pacific Islander;Two or more races;;;;
2020;250.56;44.78;4.34;20.17;0.86;9.73;;;;
2019;250.52;44.08;4.19;19.5;0.81;9.14;;;;
2018;249.96;43.73;4.15;19.13;0.79;8.92;;;;
2017;249.27;43.37;4.1;18.76;0.78;8.69;;;;
2016;248.41;42.97;4.05;18.28;0.77;8.46;;;;
2015;247.38;42.53;4;17.75;0.75;8.21;;;;
2014;246.35;42.09;3.95;17.2;0.74;7.97;;;;
2013;245.31;41.65;3.9;16.68;0.72;7.73;;;;
2012;244.35;41.23;3.85;16.2;0.71;7.5;;;;
2011;243.29;40.78;3.8;15.72;0.69;7.27;;;;
2010;242.24;40.36;3.75;15.26;0.68;7.04;;;;
2009;241.03;39.9;3.64;14.83;0.66;6.71;;;;
2008;239.78;39.43;3.5;14.4;0.64;6.35;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
